[2010-10-12 21:41] Running 'pacman -Sy'
[2010-10-12 21:41] synchronizing package lists
[2010-10-12 21:41] Running 'pacman -S dosfstools'
[2010-10-12 21:41] installed dosfstools (3.0.10-1)
[2010-10-19 23:15] Running 'pacman -Syyyyyu'
[2010-10-19 23:15] synchronizing package lists
[2010-10-19 23:15] starting full system upgrade
[2010-10-19 23:38] upgraded kdebase-kdepasswd (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdebase-kdialog (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdebase-kfind (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdebase-konqueror (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdebase-konsole (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdebase-kwrite (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdebase-plasma (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeedu-data (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdeedu-libkdeedu (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdegraphics-gwenview (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdegraphics-kamera (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdegraphics-kcolorchooser (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdegraphics-kgamma (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdegraphics-kolourpaint (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdegraphics-kruler (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdegraphics-ksnapshot (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded poppler (0.14.0-1 -> 0.14.4-1)
[2010-10-19 23:38] upgraded poppler-qt (0.14.0-1 -> 0.14.4-1)
[2010-10-19 23:38] upgraded libspectre (0.2.6-1 -> 0.2.6-2)
[2010-10-19 23:38] upgraded kdegraphics-okular (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdemultimedia-dragonplayer (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded tunepimp (0.5.3-7 -> 0.5.3-8)
[2010-10-19 23:38] upgraded kdemultimedia-juk (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdemultimedia-kmix (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdemultimedia-kscd (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdemultimedia-mplayerthumbs (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdenetwork-filesharing (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdenetwork-kdnssd (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdenetwork-kget (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded libidn (1.16-1 -> 1.19-1)
[2010-10-19 23:38] upgraded libgadu (1.9.0-1 -> 1.9.1-1)
[2010-10-19 23:38] upgraded kdenetwork-kopete (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdenetwork-kppp (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdenetwork-krdc (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdenetwork-krfb (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-bball (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-binary-clock (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-blackboard (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-bubblemon (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-calculator (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-charselect (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-libs (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-comic (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-dict (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-eyes (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-fifteenpuzzle (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-filewatcher (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-frame (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-fuzzy-clock (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-incomingmsg (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded qwt (5.2.0-2 -> 5.2.1-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-kdeobservatory (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-kimpanel (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-knowledgebase (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-kolourpicker (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-konqprofiles (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-konsoleprofiles (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-lancelot (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-leavenote (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-life (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-luna (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-magnifique (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-mediaplayer (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-microblog (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-news (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-notes (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-nowplaying (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-paste (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-pastebin (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-plasmaboard (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-previewer (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-qalculate (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-rememberthemilk (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-rssnow (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-showdashboard (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-showdesktop (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-social-news (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-spellcheck (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-systemloadviewer (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-timer (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-unitconverter (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-weather (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-weatherstation (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-applets-webslice (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-runners-audioplayercontrol (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-runners-browserhistory (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-runners-contacts (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-runners-converter (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-runners-katesessions (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-runners-konquerorsessions (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-runners-konsolesessions (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-runners-kopete (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-runners-mediawiki (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-runners-spellchecker (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-wallpapers-mandelbrot (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-wallpapers-pattern (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-wallpapers-virus (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeplasma-addons-wallpapers-weather (4.5.1-1 -> 4.5.2-1)
[2010-10-19 23:38] upgraded kdeutils-ark (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdeutils-kcalc (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdeutils-kcharselect (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdeutils-kdf (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:38] upgraded kdeutils-kfloppy (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:39] upgraded kdeutils-kgpg (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:39] upgraded kdeutils-kremotecontrol (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:39] upgraded kdeutils-ktimer (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:39] upgraded kdeutils-kwallet (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:39] upgraded kdeutils-okteta (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:39] upgraded kdeutils-printer-applet (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:39] upgraded kdeutils-superkaramba (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:39] upgraded kdeutils-sweeper (4.5.1-1 -> 4.5.2-2)
[2010-10-19 23:39] upgraded linux-firmware (20100807-1 -> 20100911-1)
[2010-10-19 23:39] >>> Updating module dependencies. Please wait ...
[2010-10-19 23:39] >>> MKINITCPIO SETUP
[2010-10-19 23:39] >>> ----------------
[2010-10-19 23:39] >>> If you use LVM2, Encrypted root or software RAID,
[2010-10-19 23:39] >>> Ensure you enable support in /etc/mkinitcpio.conf .
[2010-10-19 23:39] >>> More information about mkinitcpio setup can be found here:
[2010-10-19 23:39] >>> http://wiki.archlinux.org/index.php/Mkinitcpio
[2010-10-19 23:39]
[2010-10-19 23:39] >>> Generating initial ramdisk, using mkinitcpio. Please wait...
[2010-10-19 23:39] ==> Building image "default"
[2010-10-19 23:39] ==> Running command: /sbin/mkinitcpio -k 2.6.35-ARCH -c /etc/mkinitcpio.conf -g /boot/kernel26.img
[2010-10-19 23:39] :: Begin build
[2010-10-19 23:39] :: Parsing hook [base]
[2010-10-19 23:39] :: Parsing hook [udev]
[2010-10-19 23:39] :: Parsing hook [usb]
[2010-10-19 23:39] :: Parsing hook [lvm2]
[2010-10-19 23:39] :: Parsing hook [autodetect]
[2010-10-19 23:39] :: Parsing hook [pata]
